video_id	trending_date	title	channel_title	views	likes	category_id	comments	channel_id
1wqeccW5Yh8	26.26.02	KNIGHT OF THE SEVEN KINGDOMS TEASER 2026: House Of The Dragon & Game Of Thrones Easter Eggs	Emergency Awesome	196633	4022	24	308	UCDiFRMQWpcp8_KD4vwIVicw
WuIZ6f8frC8	26.26.02	Kizaru Must Live With His Sins | ONE PIECE	Crunchyroll	348899	6915	1	501	UC6pGDc4bFGD1_36IKv3FnYg
upjoSSwGYDo	26.26.02	Absurd Trolley Problems	Markiplier	6787481	290345	20	7968	UC7_YxT-KID8kRbqZo7MyscQ
09XGATb07_Y	26.26.02	MASSIVE MOON UPDATE + ADMIN ABUSE	CaylusBlox	862693	15645	20	960	UCsPMNatXCwqyUuJilBT73jg
2qJL_PeYJXY	26.26.02	I Stole The 5 NEWEST BRAINROTS..	CaylusBlox	1474373	14200	20	1489	UCsPMNatXCwqyUuJilBT73jg
lKjC8k6fMZo	26.26.02	Thank YOU ✊	Gorillaz	2928273	178470	10	6191	UCfIXdjDQH9Fau7y99_Orpjw
fEWydBAAJG0	26.26.02	New vocal stim unlocked ❄️ @bbnomoney  #mysingingmonsters #fypシ #gaming #bbnomoney	My Singing Monsters	1123172	21529	20	1086	UCngRsuvI1zxHR9vwNZvpTAw
92-xLp4pGmY	26.26.02	Debbie Zoller drives LOST HIGHWAY | MUBI Podcast	MUBI	443542	41	24	1	UCb6-VM5UQ4Czj_d3m9EPGfg
aNGA90mUJds	26.26.02	Gorillaz - The Valley of the Pagans ft. Beck (Episode Eight)	Gorillaz	8270460	193226	1	7103	UCfIXdjDQH9Fau7y99_Orpjw
5dOKVac3duo	26.26.02	Your first look at ROSEBUSH PRUNING | MUBI	MUBI	14820	400	24	9	UCb6-VM5UQ4Czj_d3m9EPGfg
phfX-paTKXc	26.26.02	🔴LIVE | ESCAPE FROM TARKOV | THE BUNGULATION TRIALS | #MoistureUp #FartRightThere #Tarkov #Bungulate	TheBurntPeanut	163637	2320	20	71	UCMNEVbszv8ZyvSXoTn3yhpQ
Y26vQd0glFM	26.26.02	Michael Bolton - Said I Loved You...But I Lied (Lyrics)	Monstafluff Music	654043	1618	10	30	UCMwePVHRpDdfeUcwtDZu2Dw
tts8CBH2M9I	26.26.02	Baby Drill - Standing Ovation (Visualizer)	BabyDrill	120997	1823	22	45	UCuBt_SxWNqkgdkpBMJ_3cSg
T16T-odokVk	26.26.02	Brawl Stars Animation - Charging up to the Max!	Brawl Stars	17001334	218541	20	8997	UCooVYzDxdwTtGYAkcPmOgOw
ANyFDHM1N7Y	26.26.02	PEACEMAKER SEASON 2 EPISODE 5: WTF Just Happened?!	Emergency Awesome	238059	5660	24	903	UCDiFRMQWpcp8_KD4vwIVicw
8TT_PQx5gkM	26.26.02	THE BRIDE! arrives in Fortnite. Play at 8532-9413-6963 for a limited time only.	Warner Bros.	3688	122	24	4	UCjmJDM5pRKbUlVIzDYYWb6g
lYcNPwLBf_Y	26.26.02	Let's Go🔥✨🏍️#race#racelover#ktmlover#dukelover#trending#top#viral#meocoshorts#shorts#fyp	MEOCO SHORTS	2018473	0	22	340	UCoekw7VSMSecmghw_ypITHg
B9_-9lTu18M	26.26.02	Brawl Stars Season 19 - #EnchantedWoods	Brawl Stars	2451434	144995	20	1344	UCooVYzDxdwTtGYAkcPmOgOw
o4a7c_aW6y0	26.26.02	ROSIE, Caleb Hearn - Break A Promise (Lyrics)	Aura Serenity	2721	25	10	1	UCnjDfkZQJpaB91w3gbgbhOA
Hq1Z9CGYT-I	26.26.02	Letter To My 13 Year Old Self with Barbra Streisand out now 🤍⭐️🕰️	Laufey	176903	10581	10	112	UChpKl3waLmccNeYH9LGYjUQ
1D7xR59Ld9I	26.26.02	T.I. - Wonderful Life ft. Akon [Official Audio]	T.I.	1246833	8945	10	544	UCsD7zvGKkqB7GvQpygW2few
8nMF1Xzx8Dk	26.26.02	T.I. - Hello ft. CeeLo Green [Official Audio]	T.I.	876085	5403	10	435	UCsD7zvGKkqB7GvQpygW2few
kb6JTD0F27o	26.26.02	Are the Eagles the Most DOMINANT Team in the NFL?	MMG	111009	5303	17	220	UCaYxyR9mzVlTrOOyZD0XAmA
vLQ3C6jQNlc	26.26.02	My Singing Monsters - The Making of Lowb (Official Behind the Scenes)	My Singing Monsters	216640	4753	20	413	UCngRsuvI1zxHR9vwNZvpTAw
UJAQTAee4mw	26.26.02	It turned out the neighbours were a cult too. What are the chances?	Gorillaz	187540	14850	10	607	UCfIXdjDQH9Fau7y99_Orpjw
vaaaQIknX1M	26.26.02	I Was Abducted...	Markiplier	1330634	95461	20	4463	UC7_YxT-KID8kRbqZo7MyscQ
